M?,Tàn,Tàn Ti?ng Anh,C?p,Ngh? ??nh,Ghi ch£,M? TP,T?nh / ThÖnh Ph?
08038,X? ChÉn M?ng,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i tàn t? x? Yàn Ki?n thÖnh x? ChÉn M?ng, h?p nh?t x? Hóng Long, Yàn Ki?n vÖ ChÉn M?ng . B? c?p huy?n",25,T?nh Ph£ Th?
08053,X? H? Hïa,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i lo?i hçnh t? th? tr?n H? Hïa thÖnh x? H? Hïa, h?p nh?t th? tr?n H? Hïa va? c†c x? Minh H?c, ?m H?, Gia ?i?n thÖnh x? m?i c¢ tàn g?i lÖ x? H? Hïa. B? c?p huy?n",25,T?nh Ph£ Th?
08071,X? ?an Th??ng,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t x? T? Hi?p, ??i Ph?m, HÖ L??ng vÖ ?an Th??ng thÖnh x? m?i c¢ tàn g?i lÖ x? ?an Th??ng. B? c?p huy?n",25,T?nh Ph£ Th?
08110,X? Hi?n L??ng,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t x? XuÉn ?ng vÖ x? Hi?n L??ng thu?c huyà?n Ha? Ho?a, t?nh Phu? Tho? (tr???c khi th??c hià?n s??p xà?p) thÖnh x? m?i c¢ tàn g?i lÖ x? Hi?n L??ng.. B? c?p huy?n",25,T?nh Ph£ Th?
08113,X? Yàn K?,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t x? Yàn K?, x? H??ng X?, x? Ph??ng Viàn. B? c?p huy?n",25,T?nh Ph£ Th?
08134,X? V?n Lang,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t x? Vì Tranh, B?ng Gi?, Minh Cìi vÖ V?n Lang thÖnh x? m?i c¢ tàn g?i lÖ x? V?n Lang. B? c?p huy?n",25,T?nh Ph£ Th?
08143,X? V?nh ChÉn,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t x? Lang S?n, Yàn Lu?t vÖ V?nh ChÉn thÖnh x? m?i c¢ tàn g?i lÖ x? V?nh ChÉn.. B? c?p huy?n",25,T?nh Ph£ Th?
08152,X? Thanh Ba,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i lo?i hçnh t? th? tr?n Thanh Ba thÖnh x? Thanh Ba, h?p nh?t th? tr?n Thanh Ba va? c†c x? ??ng XuÉn, Hanh Có, VÉn L?nh thÖnh x? m?i c¢ tàn g?i lÖ x? Thanh Ba. B? c?p huy?n",25,T?nh Ph£ Th?
08173,X? Qu?ng Yàn,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t x? ??i An, ?ìng L?nh vÖ Qu?ng Yàn . B? c?p huy?n",25,T?nh Ph£ Th?
08203,X? HoÖng C??ng,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t x? Ninh DÉn,  M?n L?n vÖ HoÖng C??ng thÖnh x? m?i c¢ tàn g?i lÖ x? HoÖng C??ng.. B? c?p huy?n",25,T?nh Ph£ Th?
08209,X? ?ìng ThÖnh,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t x? Kh?i XuÉn, V? Lao vÖ ?ìng ThÖnh thÖnh x? m?i c¢ tàn g?i lÖ x? ?ìng ThÖnh.. B? c?p huy?n",25,T?nh Ph£ Th?
08218,X? Ch° Tiàn,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i tàn t? x? Thanh HÖ thÖnh x? Ch° Tiàn, h?p nh?t x? S?n C??ng, Thanh HÖ vÖ Ch° Tiàn thÖnh x? m?i c¢ tàn g?i lÖ x? Ch° Tiàn.. B? c?p huy?n",25,T?nh Ph£ Th?
08227,X? Liàn Minh,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t c†c x? ?? S?n, ?? Xuyàn vÖ L??ng L? thÖnh x? m?i c¢ tàn g?i lÖ x? Liàn Minh.. B? c?p huy?n",25,T?nh Ph£ Th?
08230,X? Phó Ninh,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i lo?i hçnh, ??i tàn t? th? tr?n Phong ChÉu thÖnh x? Phó Ninh, h?p nh?t th? tr?n Phong ChÉu va? c†c x? Ph£ Nham, Ph£ L?c, Phó Ninh thÖnh x? m?i c¢ tàn g?i lÖ x? Phó Ninh. B? c?p huy?n",25,T?nh Ph£ Th?
08236,X? Ph£ M?,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t c†c x? Liàn Hoa, L? M? vÖ Ph£ M? thÖnh x? m?i c¢ tàn g?i lÖ x? Ph£ M?.. B? c?p huy?n",25,T?nh Ph£ Th?
08245,X? Tr?m Th?n,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t x? Tiàn Ph£, Trung Gi†p vÖ Tr?m Th?n thÖnh x? m?i c¢ tàn g?i lÖ x? Tr?m Th?n.. B? c?p huy?n",25,T?nh Ph£ Th?
08254,X? DÉn Ch?,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t x? B?o Thanh, Tr? Qu?n, H? Gi†p vÖ Gia Thanh thÖnh x? m?i c¢ tàn g?i lÖ x? DÉn Ch?.. B? c?p huy?n",25,T?nh Ph£ Th?
08275,X? Bçnh Ph£,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t x? Tiàn Du, An ??o vÖ Bçnh Ph£ thÖnh x? m?i c¢ tàn g?i lÖ x? Bçnh Ph£.. B? c?p huy?n",25,T?nh Ph£ Th?
08290,X? Yàn L?p,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i lo?i hçnh t? th? tr?n Yàn L?p thÖnh x? Yàn L?p, h?p nh?t th? tr?n Yàn L?p, xa? ?ì?ng Thi?nh thu?c huyà?n Yàn LÉ?p, t?nh Phu? Tho? (tr???c khi th??c hià?n s??p xà?p), x? H?ng Long va? xa? ??ng L?c thÖnh x? m?i c¢ tàn g?i lÖ x? Yàn L?p.. B? c?p huy?n",25,T?nh Ph£ Th?
08296,X? S?n L??ng,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t x? M? L??ng, M? Lung vÖ L??ng S?n thÖnh x? m?i c¢ tàn g?i lÖ x? S?n L??ng.. B? c?p huy?n",25,T?nh Ph£ Th?
08305,X? XuÉn Viàn,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t x? XuÉn Thu?y thu?c huyà?n Yàn LÉ?p, t?nh Phu? Tho? (tr???c khi th??c hià?n s??p xà?p), xa? XuÉn An vÖ xa? XuÉn Viàn thÖnh x? m?i c¢ tàn g?i lÖ x? XuÉn Viàn.. B? c?p huy?n",25,T?nh Ph£ Th?
08311,X? Trung S?n,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"Gi? nguyàn, khìng th?c hi?n s?p x?p. B? c?p huy?n",25,T?nh Ph£ Th?
08323,X? Th??ng Long,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t x? Ph£c Kh†nh, Nga HoÖng vÖ Th??ng Long thÖnh x? m?i c¢ tàn g?i lÖ x? Th??ng Long. B? c?p huy?n",25,T?nh Ph£ Th?
08338,X? Minh Hïa,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t x? Ng?c L?p, Ng?c ??ng vÖ Minh Hïa thÖnh x? m?i c¢ tàn g?i lÖ x? Minh Hïa.. B? c?p huy?n",25,T?nh Ph£ Th?
08341,X? C?m Khà,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i lo?i hçnh t? th? tr?n C?m Khà thÖnh x? C?m Khà, h?p nh?t th? tr?n C?m Khà, x? Minh TÉn vÖ x? Phong Th?nh thÖnh x? m?i c¢ tàn g?i lÖ x? C?m Khà. B? c?p huy?n",25,T?nh Ph£ Th?
08344,X? Tiàn L??ng,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t x? Ph??ng V?, Minh Th?ng vÖ Tiàn L??ng thÖnh x? m?i c¢ tàn g?i lÖ x? Tiàn L??ng. B? c?p huy?n",25,T?nh Ph£ Th?
08377,X? VÉn B†n,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i tàn t? x? Tam S?n thÖnh x? VÉn B†n, h?p nh?t x? Tóng Khà, Tam S?n vÖ V?n B†n . B? c?p huy?n",25,T?nh Ph£ Th?
08398,X? Ph£ Khà,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,H?p nh?t x? H??ng Lung vÖ x? Ph£ Khà thÖnh x? m?i c¢ tàn g?i lÖ x? Ph£ Khà.. B? c?p huy?n,25,T?nh Ph£ Th?
08416,X? Hóng Vi?t,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,H?p nh?t x? Nh?t Ti?n vÖ x? Hóng Vi?t thÖnh x? m?i c¢ tàn g?i lÖ x? Hóng Vi?t.. B? c?p huy?n,25,T?nh Ph£ Th?
08431,X? ??ng L??ng,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t x? ?iàu L??ng, Yàn D??ng vÖ ??ng L??ng thÖnh x? m?i c¢ tàn g?i lÖ x? ??ng L??ng.. B? c?p huy?n",25,T?nh Ph£ Th?
08434,X? Tam Nìng,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i lo?i hçnh, ??i tàn t? th? tr?n H?ng H¢a thÖnh x? Tam Nìng, h?p nh?t th? tr?n H?ng H¢a, x? DÉn Quy?n vÖ x? H??ng N?n thÖnh x? m?i c¢ tàn g?i lÖ x? Tam Nìng. B? c?p huy?n",25,T?nh Ph£ Th?
08443,X? Hi?n Quan,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t x? Thanh Uyàn, B?c S?n vÖ Hi?n Quan thÖnh x? m?i c¢ tàn g?i lÖ x? Hi?n Quan. B? c?p huy?n",25,T?nh Ph£ Th?
08467,X? V?n XuÉn,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t x? Quang H£c, Lam S?n vÖ V?n XuÉn . B? c?p huy?n",25,T?nh Ph£ Th?
08479,X? Th? V?n,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t x? D? N?u, T? L? vÖ Th? V?n thÖnh x? m?i c¢ tàn g?i lÖ x? Th? V?n.. B? c?p huy?n",25,T?nh Ph£ Th?
08494,X? LÉm Thao,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i lo?i hçnh t? th? tr?n LÉm Thao thÖnh x? LÉm Thao, h?p nh?t th? tr?n Hóng S?n, th? tr?n LÉm Thao vÖ x? Th?ch S?n thÖnh x? m?i c¢ tàn g?i lÖ x? LÉm Thao. B? c?p huy?n",25,T?nh Ph£ Th?
08500,X? XuÉn L?ng,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t x? Tiàn Kiàn, XuÉn Huy vÖ XuÉn L?ng . B? c?p huy?n",25,T?nh Ph£ Th?
08515,X? Hy C??ng,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t x? Thanh ?çnh, Chu H¢a vÖ Hy C??ng thÖnh x? m?i c¢ tàn g?i lÖ x? Hy C??ng.. B? c?p huy?n",25,T?nh Ph£ Th?
08521,X? Phóng Nguyàn,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t x? T? X?,  S?n Vi vÖ Phóng Nguyàn thÖnh x? m?i c¢ tàn g?i lÖ x? Phóng Nguyàn. B? c?p huy?n",25,T?nh Ph£ Th?
08527,X? B?n Nguyàn,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t x? Cao X†,  V?nh L?i vÖ B?n Nguyàn thÖnh x? m?i c¢ tàn g?i lÖ x? B?n Nguyàn.. B? c?p huy?n",25,T?nh Ph£ Th?
08542,X? Thanh S?n,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i lo?i hçnh t? th? tr?n Thanh S?n thÖnh x? Thanh S?n, h?p nh?t th? tr?n Thanh S?n va? c†c x? S?n Hóng, Gi†p Lai, Th?ch Kho†n, Th?c Luy?n thÖnh x? m?i c¢ tàn g?i lÖ x? Thanh S?n.. B? c?p huy?n",25,T?nh Ph£ Th?
08545,X? Thu C£c,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"Gi? nguyàn, khìng th?c hi?n s?p x?p. B? c?p huy?n",25,T?nh Ph£ Th?
08560,X? Lai ??ng,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t x? Ki?t S?n, TÉn S?n, ??ng S?n vÖ Lai ??ng thÖnh x? m?i c¢ tàn g?i lÖ x? Lai ??ng.. B? c?p huy?n",25,T?nh Ph£ Th?
08566,X? TÉn S?n,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i lo?i hçnh, ??i tàn t? th? tr?n TÉn Ph£ thÖnh x? TÉn S?n, h?p nh?t th? tr?n TÉn Ph£, x? Thu Ng?c vÖ x? Th?ch Ki?t thÖnh x? m?i c¢ tàn g?i lÖ x? TÉn S?n.. B? c?p huy?n",25,T?nh Ph£ Th?
08584,X? V? Mi?u,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t x? ??ch Qu?, C? Th?ng vÖ V? Mi?u thÖnh x? m?i c¢ tàn g?i lÖ x? V? Mi?u.. B? c?p huy?n",25,T?nh Ph£ Th?
08590,X? XuÉn ?Öi,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t x? Kim Th??ng, XuÉn S?n vÖ XuÉn ?Öi thÖnh x? m?i c¢ tàn g?i lÖ x? XuÉn ?Öi.. B? c?p huy?n",25,T?nh Ph£ Th?
08593,X? Minh ?Öi,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t x? M? Thu?n, V?n Luìng vÖ Minh ?Öi thÖnh x? m?i c¢ tàn g?i lÖ x? Minh ?Öi.. B? c?p huy?n",25,T?nh Ph£ Th?
08611,X? V?n Mi?u,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t x? TÉn Minh, xa? TÉn L?p thu?c huyà?n Thanh S?n, t?nh Phu? Tho? (tr???c khi th??c hià?n s??p xà?p) vÖ xa? V?n Mi?u thÖnh x? m?i c¢ tàn g?i lÖ x? V?n Mi?u.. B? c?p huy?n",25,T?nh Ph£ Th?
08614,X? C? ??ng,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t x? T?t Th?ng, Th?ng S?n vÖ C? ??ng thÖnh x? m?i c¢ tàn g?i lÖ x? C? ??ng.. B? c?p huy?n",25,T?nh Ph£ Th?
08620,X? Long C?c,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t x? Tam Thanh, Vinh Ti?n vÖ Long C?c thÖnh x? m?i c¢ tàn g?i lÖ x? Long C?c.. B? c?p huy?n",25,T?nh Ph£ Th?
08632,X? H??ng C?n,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t x? Yàn L??ng, Yàn L?ng vÖ H??ng C?n thÖnh x? m?i c¢ tàn g?i lÖ x? H??ng C?n.. B? c?p huy?n",25,T?nh Ph£ Th?
08635,X? Kh? C?u,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t x? ?ìng C?u, Th??ng C?u vÖ Kh? C?u thÖnh x? m?i c¢ tàn g?i lÖ x? Kh? C?u.. B? c?p huy?n",25,T?nh Ph£ Th?
08656,X? Yàn S?n,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t x? Tinh Nhu?, L??ng Nha vÖ Yàn S?n thÖnh x? m?i c¢ tàn g?i lÖ x? Yàn S?n.. B? c?p huy?n",25,T?nh Ph£ Th?
08662,X? ?Öo X†,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t x? XuÉn L?c, Th?ch ??ng, TÉn Ph??ng vÖ ?Öo X† thÖnh x? m?i c¢ tàn g?i lÖ x? ?Öo X†.. B? c?p huy?n",25,T?nh Ph£ Th?
08674,X? Thanh Th?y,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i lo?i hçnh t? th? tr?n Thanh Th?y thÖnh x? Thanh Th?y, h?p nh?t th? tr?n Thanh Th?y, x? S?n Th?y thu?c huyà?n Thanh Thu?y, t?nh Phu? Tho? (tr???c khi th??c hià?n s??p xà?p), xa? ?oan H? va? xa? B?o Yàn thÖnh x? m?i c¢ tàn g?i lÖ x? Thanh Th?y. B? c?p huy?n",25,T?nh Ph£ Th?
08686,X? Tu V?,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t x? ??ng Trung, HoÖng X† vÖ Tu V? thÖnh x? m?i c¢ tàn g?i lÖ x? Tu V?.. B? c?p huy?n",25,T?nh Ph£ Th?
08707,Ph??ng V?nh Yàn,,Ph??ng,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t ph??ng T°ch S?n, H?i H?p, ??ng TÉm vÖ x? Thanh Tró thÖnh ph??ng m?i c¢ tàn g?i lÖ ph??ng V?nh Yàn.. B? c?p huy?n",25,T?nh Ph£ Th?
08716,Ph??ng V?nh Ph£c,,Ph??ng,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t ph??ng ??nh Trung, Liàn B?o, Khai Quang, Ngì Quy?n vÖ ??ng ?a thÖnh ph??ng m?i c¢ tàn g?i lÖ ph??ng V?nh Ph£c. . B? c?p huy?n",25,T?nh Ph£ Th?
08740,Ph??ng Ph£c Yàn,,Ph??ng,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t ph??ng Hu?ng V??ng thuì?c tha?nh phì? Phu?c Yàn, ti?nh Phu? Tho? (tr???c khi th??c hià?n s??p xà?p), ca?c ph???ng Hai BÖ Tr?ng, Ph£c Th?ng, Ti?n ChÉu vÖ Nam Viàm thÖnh ph??ng m?i c¢ tàn g?i lÖ ph??ng Ph£c Yàn.. B? c?p huy?n",25,T?nh Ph£ Th?
08746,Ph??ng XuÉn Hïa,,Ph??ng,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t ph??ng ??ng XuÉn, ph??ng XuÉn Hïa, x? Cao Minh vÖ x? Ng?c Thanh . B? c?p huy?n",25,T?nh Ph£ Th?
08761,X? L?p Th?ch,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i lo?i hçnh t? th? tr?n L?p Th?ch thÖnh x? L?p Th?ch, h?p nh?t th? tr?n L?p Th?ch va? c†c x? XuÉn Hïa, T? Du, VÉn Tr?c thÖnh x? m?i c¢ tàn g?i lÖ x? L?p Th?ch.. B? c?p huy?n",25,T?nh Ph£ Th?
08770,X? H?p L?,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t x? Ng?c M? thu?c huyà?n LÉ?p Tha?ch, t?nh Vi?nh Phu?c (tr???c khi th??c hià?n s??p xà?p), xa? Quang S?n vÖ xa? H?p L? thÖnh x? m?i c¢ tàn g?i lÖ x? H?p L?.. B? c?p huy?n",25,T?nh Ph£ Th?
08773,X? Yàn L?ng,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,H?p nh?t x? Quang Yàn vÖ x? L?ng Cìng thÖnh x? m?i c¢ tàn g?i lÖ x? Yàn L?ng.. B? c?p huy?n,25,T?nh Ph£ Th?
08782,X? H?i L?u,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t x? NhÉn ??o, ?ìn NhÉn, Ph??ng Khoan vÖ H?i L?u thÖnh x? m?i c¢ tàn g?i lÖ x? H?i L?u. B? c?p huy?n",25,T?nh Ph£ Th?
08788,X? Th†i Hïa,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t x? B?c Bçnh, Li?n S?n vÖ Th†i Hïa thÖnh x? m?i c¢ tàn g?i lÖ x? Th†i Hïa.. B? c?p huy?n",25,T?nh Ph£ Th?
08812,X? Liàn Hïa,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t th? tr?n Hoa S?n, x? BÖn Gi?n vÖ x? Liàn Hïa thÖnh x? m?i c¢ tàn g?i lÖ x? Liàn Hïa.. B? c?p huy?n",25,T?nh Ph£ Th?
08824,X? Tam S?n,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i lo?i hçnh t? th? tr?n Tam S?n thÖnh x? Tam S?n, h?p nh?t th? tr?n Tam S?n, x? ??ng Qu? vÖ x? TÉn L?p thu?c huyà?n Sìng Lì, t?nh Vi?nh Phu?c (tr???c khi th??c hià?n s??p xà?p) thÖnh x? m?i c¢ tàn g?i lÖ x? Tam S?n.. B? c?p huy?n",25,T?nh Ph£ Th?
08842,X? Tiàn L?,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t x? XuÉn Lìi, V?n Qu†n, ??ng ?ch vÖ Tiàn L? thÖnh x? m?i c¢ tàn g?i lÖ x? Tiàn L?.. B? c?p huy?n",25,T?nh Ph£ Th?
08848,X? Sìng Lì,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t xa? ??ng Th?nh thu?c huyà?n Sìng Lì, t?nh Vi?nh Phu?c (tr???c khi th??c hià?n s??p xà?p) va? ca?c x? T? Yàn, ??c B†c, Yàn Th?ch thÖnh x? m?i c¢ tàn g?i lÖ x? Sìng Lì.. B? c?p huy?n",25,T?nh Ph£ Th?
08866,X? S?n ?ìng,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t x? TÉy S?n, Cao Phong vÖ S?n ?ìng thÖnh x? m?i c¢ tàn g?i lÖ x? S?n ?ìng.. B? c?p huy?n",25,T?nh Ph£ Th?
08869,X? Tam D??ng,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i lo?i hçnh, ??i tàn t? th? tr?n H?p Hïa thÖnh x? Tam D??ng, h?p nh?t th? tr?n H?p Hïa, th? tr?n Kim Long, x? H??ng ??o vÖ x? ??o T£ thÖnh x? m?i c¢ tàn g?i lÖ x? Tam D??ng.. B? c?p huy?n",25,T?nh Ph£ Th?
08872,X? Tam D??ng B?c,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t x? ??ng T?nh, HoÖng Hoa vÖ Tam Quan thÖnh x? m?i c¢ tàn g?i lÖ x? Tam D??ng B?c. B? c?p huy?n",25,T?nh Ph£ Th?
08896,X? HoÖng An,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t x? HoÖng ?an, HoÖng LÉu vÖ An Hïa thÖnh x? m?i c¢ tàn g?i lÖ x? HoÖng An.. B? c?p huy?n",25,T?nh Ph£ Th?
08905,X? H?i Th?nh,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t x? Duy Phiàn, Thanh VÉn vÖ H?i Th?nh thÖnh x? m?i c¢ tàn g?i lÖ x? H?i Th?nh.. B? c?p huy?n",25,T?nh Ph£ Th?
08911,X? Tam ??o,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i lo?i hçnh, ??i tàn t? th? tr?n H?p ChÉu thÖnh x? Tam ??o, h?p nh?t th? tr?n H?p ChÉu, th? tr?n Tam ??o, x? H? S?n vÖ x? Minh Quang thÖnh x? m?i c¢ tàn g?i lÖ x? Tam ??o.. B? c?p huy?n",25,T?nh Ph£ Th?
08914,X? ??o Tró,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,H?p nh?t x? Yàn D??ng vÖ x? ??o Tró thÖnh x? m?i c¢ tàn g?i lÖ x? ??o Tró.. B? c?p huy?n,25,T?nh Ph£ Th?
08923,X? ??i ?çnh,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i lo?i hçnh t? th? tr?n ??i ?çnh thÖnh x? ??i ?çnh, h?p nh?t th? tr?n ??i ?çnh vÖ x? B? L? thÖnh x? m?i c¢ tàn g?i lÖ x? ??i ?çnh.. B? c?p huy?n",25,T?nh Ph£ Th?
08935,X? Bçnh Nguyàn,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i lo?i hçnh, ??i tàn t? th? tr?n H??ng Canh thÖnh x? Bçnh Nguyàn, h?p nh?t th? tr?n H??ng Canh vÖ c†c x? Tam H?p, Qu?t L?u, S?n Lìi thÖnh x? m?i c¢ tàn g?i lÖ x? Bçnh Nguyàn.. B? c?p huy?n",25,T?nh Ph£ Th?
08944,X? Bçnh Tuy?n,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i lo?i hçnh, ??i tàn t? th? tr?n B† Hi?n thÖnh x? Bçnh Tuy?n, h?p nh?t th? tr?n B† Hi?n vÖ x? Trung M? thÖnh x? m?i c¢ tàn g?i lÖ x? Bçnh Tuy?n.. B? c?p huy?n",25,T?nh Ph£ Th?
08950,X? Bçnh Xuyàn,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t th? tr?n Gia Kh†nh, x? H??ng S?n vÖ x? Thi?n K? thÖnh x? m?i c¢ tàn g?i lÖ x? Bçnh Xuyàn. B? c?p huy?n",25,T?nh Ph£ Th?
08971,X? XuÉn L?ng,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i tàn t? x? Ph£ XuÉn thÖnh x? XuÉn L?ng, h?p nh?t th? tr?n Thanh L?ng, th? tr?n ??o ??c, x? TÉn Phong vÖ x? Ph£ XuÉn thÖnh x? m?i c¢ tàn g?i lÖ x? XuÉn L?ng.. B? c?p huy?n",25,T?nh Ph£ Th?
09025,X? Yàn L?c,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i lo?i hçnh t? th? tr?n Yàn L?c thÖnh x? Yàn L?c, h?p nh?t th? tr?n Yàn L?c, x? Bçnh ??nh vÖ x? ??ng C??ng thÖnh x? m?i c¢ tàn g?i lÖ x? Yàn L?c. B? c?p huy?n",25,T?nh Ph£ Th?
09040,X? T? L?,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t x? ??ng V?n, Trung Nguyàn vÖ T? L? thÖnh x? m?i c¢ tàn g?i lÖ x? T? L?.. B? c?p huy?n",25,T?nh Ph£ Th?
09043,X? Tam H?ng,,X?,S?: 1676/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i lo?i hçnh t? th? tr?n Tam H?ng thÖnh x? Tam H?ng, h?p nh?t th? tr?n Tam H?ng, x? Yàn Ph??ng vÖ x? Yàn ??ng thÖnh x? m?i c¢ tàn g?i lÖ x? Tam H?ng.. B? c?p huy?n",25,T?nh Ph£ Th?
